"Дата операции";"УНП";"Организация";"Действие";"Путь серверный";"Путь локальный";"Имя файла";"Размер, байт"
"04-08-2023 13:32:15";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637453.700";"20410"
"04-08-2023 14:02:12";"";"Treasury";"Получение выписки текущего дня, получение с FTP";"/BANK";"K:\G_oper\";"725M0408.795";"33136"
"04-08-2023 14:08:11";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, получение с FTP";"/";"K:\PTKMAIL\MailIn\";"370100FMP.722";"12891"
"04-08-2023 14:14:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-d45b724f-fc98-4081-9ced-4d1cc81e2bdf.tar";"10240"
"04-08-2023 14:20:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-6bdf1c0f-4962-4b7d-a6b7-5d83edaf1b36.tar";"10240"
"04-08-2023 14:48:24";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, отправка на FTP";"/";"K:\PTKMAIL\MailOut\";"470100JYI.722";"3486"
"04-08-2023 14:58:12";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, отправка на FTP";"/";"K:\PTKMAIL\MailOut\";"470100JYJ.722";"3205"
"04-08-2023 15:02:11";"";"Treasury";"Получение выписки текущего дня, получение с FTP";"/BANK";"K:\G_oper\";"725M0408.795";"41861"
"04-08-2023 15:14:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-31460996-0546-4333-a9d7-ad21c5787cf7.tar";"10240"
"04-08-2023 15:18:17";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-488c9877-9d10-45b2-8bc2-fd2fb5575ea9.tar";"10240"
"04-08-2023 15:50:13";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, получение с FTP";"/";"K:\PTKMAIL\MailIn\";"370100FMQ.722";"27978"
"04-08-2023 15:56:12";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, отправка на FTP";"/";"K:\PTKMAIL\MailOut\";"470100JYK.722";"4574"
"04-08-2023 15:58:11";"";"Treasury";"Получение выписки текущего дня, получение с FTP";"/BANK";"K:\G_oper\";"725M0408.795";"45624"
"04-08-2023 16:04:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-5eed5c35-eb1d-4374-8d19-5bf28fffcb22.tar";"10240"
"04-08-2023 16:08:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-467217f4-0834-4077-95a7-b1c4afc25e8c.tar";"10240"
"04-08-2023 21:02:12";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950630001.700";"664"
"04-08-2023 21:14:12";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637455.700";"94686"
