"Дата операции";"УНП";"Организация";"Действие";"Путь серверный";"Путь локальный";"Имя файла";"Размер, байт"
"03-08-2023 11:02:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-cb028876-8deb-4a5f-9dc1-f8522c9abeca.tar";"20480"
"03-08-2023 11:04:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-08fac5fd-caee-41aa-aa7d-b144d4fe943d.tar";"10240"
"03-08-2023 11:08:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-86280cd3-1583-4f2b-b5e0-0264e3c69238.tar";"10240"
"03-08-2023 11:14:12";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, отправка на FTP";"/";"K:\PTKMAIL\MailOut\";"470100JYC.722";"3985"
"03-08-2023 11:34:12";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637434.700";"22843"
"03-08-2023 11:50:12";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637435.700";"2142"
"03-08-2023 11:58:11";"";"Treasury";"Получение выписки текущего дня, получение с FTP";"/BANK";"K:\G_oper\";"725M0308.795";"20013"
"03-08-2023 12:04:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-bac11013-7e46-4a5d-94bc-6be9285f463c.tar";"10240"
"03-08-2023 12:08:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-19cc22ba-5b4f-430e-ade4-639e6c0f4bc8.tar";"10240"
"03-08-2023 12:10:12";"790195063";"Лесхоз";"Внебюджет, отправка на FTP";"/790195063/";"K:\E_A_in\";"w7005037.790195063";"6899"
"03-08-2023 12:16:12";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637436.700";"6689"
"03-08-2023 12:16:13";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637437.700";"233"
"03-08-2023 12:24:23";"";"Treasury";"Файловый обмен с облКазн: республиканский бюджет, отправка на FTP";"/";"K:\PTKMAIL\MailOut\";"490000FJO.722";"2570"
"03-08-2023 13:22:15";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637438.700";"2411"
"03-08-2023 13:34:16";"790195063";"Лесхоз";"Внебюджет, получение с FTP";"/790195063/";"K:\E_A_out\790195063\";"v7901950637439.700";"28456"
"03-08-2023 13:58:11";"";"Treasury";"Получение выписки текущего дня, получение с FTP";"/BANK";"K:\G_oper\";"725M0308.795";"22220"
"03-08-2023 14:04:10";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-a273ade2-8084-4bf4-96f8-c088139ce656.tar";"10240"
"03-08-2023 14:04:12";"";"Treasury";"Файловый обмен с облКазн: областной бюджет, получение с FTP";"/";"K:\PTKMAIL\MailIn\";"370100FMI.722";"12233"
"03-08-2023 14:08:11";"700016074";"ИМНС";"Отправлен в ИМНС, отправка на FTP";"/IMNS";"C:\Users\Admin\Downloads\ftp\700016074\";"722-700016074-bb821562-3686-4725-8505-c89565ae69fa.tar";"10240"
"03-08-2023 14:12:22";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430120001.722";"599"
"03-08-2023 14:12:23";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129073.722";"138966"
"03-08-2023 14:12:23";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129074.722";"1250"
"03-08-2023 14:12:24";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129075.722";"436"
"03-08-2023 14:12:24";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129076.722";"24259"
"03-08-2023 14:12:24";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"d7007430129078.722";"840"
"03-08-2023 14:12:25";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430120001.722";"600"
"03-08-2023 14:12:25";"700743012";"БРСМ";"Отправка на FTP";"/700743012/";"K:\E_A_out\700743012\";"l7007430127649.722";"140222"
